attribute,fisher_score
d,0.12251874214089506
e,0.08031861784693967
f,0.06249977861360575
g,0.05286513852716124
h,0.04611037735471171
i,0.039648067550793586
k,0.027238940092569962
r,0.005119497870768476
t,0.003747020121897016
v,0.0034460059189013784
s,0.00322549560909748
u,0.0031689290143846124
w,0.003049727750036874
a,0.0020529127393955613
b,0.0007278108053208768
c,0.0005170461688864527
l,0.0004704515665010788
n,0.00024571283148398874
m,0.00024249953508963747
j,0.00018257889285152497
o,0.00015211754960295248
p,6.052868355660424e-05
q,4.2193623207894545e-05
